geneName,geneName2,pearsonJSPR,absRes
c__Acidobacteriia,c__Acidobacteriia,1,1
c__Acidobacteriia,c__Actinobacteria,0.678971048,0.678971048
c__Acidobacteriia,c__Alphaproteobacteria,0.606771669,0.606771669
c__Acidobacteriia,c__Bacteroidia,-0.59897745,0.59897745
c__Acidobacteriia,o__Ophiostomatales,-0.515013712,0.515013712
c__Acidobacteriia,o__Saccharomycetales,0.604147195,0.604147195
c__Acidobacteriia,o__unclassified___Sordariomycetes,0.643409113,0.643409113
c__Acidobacteriia,o__unclassified_p__Ascomycota,0.51050706,0.51050706
c__Actinobacteria,c__Acidobacteriia,0.678971048,0.678971048
c__Actinobacteria,c__Actinobacteria,1,1
c__Actinobacteria,c__Alphaproteobacteria,0.849172176,0.849172176
c__Actinobacteria,c__Bacteroidia,-0.637880389,0.637880389
c__Actinobacteria,c__Chlamydiae,0.620877792,0.620877792
c__Actinobacteria,c__Gammaproteobacteria,-0.820613222,0.820613222
c__Actinobacteria,c__Saccharimonadia,0.656246433,0.656246433
c__Actinobacteria,c__unclassified_k__norank_d__Bacteria,0.569660604,0.569660604
c__Actinobacteria,o__Ophiostomatales,-0.708311259,0.708311259
c__Actinobacteria,o__unclassified___Sordariomycetes,0.567680484,0.567680484
c__Actinobacteria,o__unclassified_p__Ascomycota,0.560279738,0.560279738
c__Alphaproteobacteria,c__Acidobacteriia,0.606771669,0.606771669
c__Alphaproteobacteria,c__Actinobacteria,0.849172176,0.849172176
c__Alphaproteobacteria,c__Alphaproteobacteria,1,1
c__Alphaproteobacteria,c__Bacteroidia,-0.696466769,0.696466769
c__Alphaproteobacteria,c__Chlamydiae,0.559105048,0.559105048
c__Alphaproteobacteria,c__Deltaproteobacteria,0.683584461,0.683584461
c__Alphaproteobacteria,c__Fimbriimonadia,0.512249785,0.512249785
c__Alphaproteobacteria,c__Gammaproteobacteria,-0.724525398,0.724525398
c__Alphaproteobacteria,c__Saccharimonadia,0.631766071,0.631766071
c__Alphaproteobacteria,c__norank_p__FBP,0.505145403,0.505145403
