	CK_Input_1	CK_Input_2	CK_Input_3	CK_Input_4	CK_m6A_1	CK_m6A_2	CK_m6A_3	CK_m6A_4	RSV_Input_1	RSV_Input_2	RSV_Input_3	RSV_Input_4	RSV_m6A_1	RSV_m6A_2	RSV_m6A_3	RSV_m6A_4
10048272_10048452_Os01g0281600	176.8284865	188.1819495	196.7541026	190.7754179	108.2861719	89.65735545	89.464631	75.5332168	128.5339315	128.8681448	80.17723877	91.62600365	60.44167732	51.81663149	62.08389954	58.97451919
10113787_10114175_Os01g0283000	22.9647385	21.81819705	11.63599531	19.56670953	28.54817259	26.83621524	28.56853763	29.89856498	22.59937258	21.71935025	15.03323227	31.0873941	18.43983376	26.31955885	31.34929581	23.58980768
10134388_10135180_Os01g0283300	5899.641321	5385.003759	5317.649858	5461.557797	6192.984613	5760.637566	5949.022059	6007.251148	6712.013655	6570.82743	8593.997781	7424.978653	7557.258535	7456.660018	7089.243697	7246.283422
10203055_10203323_Os01g0284900	21.81650158	24.54547168	20.09853736	33.01882233	23.62607387	12.80819364	11.27705433	16.52289117	69.21057852	47.78257056	88.52903448	101.4430755	41.48962596	60.86397985	38.7256007	35.38471151
10267628_10267953_Os01g0286000	66.59774165	83.18187625	80.39414944	88.05019287	108.2861719	89.65735545	91.72004186	117.2338469	74.86042166	82.53353096	56.7922108	58.90243092	109.1023497	101.9882906	108.8004972	107.8391208
10271156_10271456_Os01g0286100	160.7531695	167.7273898	163.9617521	144.3044828	135.8499247	122.5927105	147.3535099	130.6095207	168.0828335	152.0354518	180.3987872	189.7967218	168.0073742	149.692491	166.5815522	176.0810644
10314559_10314826_Os01g0286900	22.9647385	20.45455973	22.21417287	17.12087084	23.62607387	18.90733346	15.78787606	29.89856498	19.774451	20.27139357	6.681436564	6.544714547	15.36652813	13.98226564	16.59668602	5.897451919
10478564_10478798_Os01g0289732	223.9062004	317.7274945	267.6278922	234.8005143	242.1672571	223.8384316	187.9509055	197.4878898	487.2989712	460.4502254	544.53708	528.4856996	347.7957534	382.4560896	357.7507874	353.8471151
10478564_10478800_Os01g0289600	210.1273573	294.5456602	239.0668128	229.9088369	312.061059	284.8298299	255.6132314	259.6454327	475.9992849	431.4910917	387.5233207	472.855626	443.0682278	481.1544353	457.9455956	455.788784
10500645_10500824_Os01g0290100	167.6425911	188.1819495	196.7541026	184.6608212	104.3484929	100.0258932	94.72725635	96.77693402	165.257912	205.6098491	220.4874066	289.6036187	95.27247442	91.29596977	95.27727157	92.67424444
10651130_10651400_Os01g0292900	523.5960378	529.0912784	551.1230508	553.9824635	269.73101	297.6380235	295.4588234	291.1176064	653.9693439	586.4224568	855.2238803	809.9084251	351.3812766	353.6690721	371.8887052	320.989883
10675406_10675586_Os01g0293200	39.04005545	35.4545702	41.25489248	18.34379018	16.73513566	31.7155271	19.54689417	22.81732591	50.8485883	44.88665719	58.46256994	85.0812891	26.12309782	29.60950371	27.04645128	21.06232828
1072289_1072558_Os01g0118700	118.2684033	94.09097477	113.1864999	96.61062829	76.78474007	51.23277454	69.16593321	60.58393431	166.6703728	120.1804047	120.2658582	125.985755	92.19916879	88.82851113	84.8275063	83.40681999
10805526_10805795_Os01g0295700	149.2708003	137.7273689	145.9788503	101.5023057	114.1926904	104.905205	109.0115252	116.4470426	247.1806376	299.7270335	268.9278217	215.97558	179.7883791	169.4321601	156.746479	192.9309271
10819486_10819665_Os01g0296000	11.48236925	8.181823893	5.289088779	8.560435418	13.78187642	17.07759151	16.53967968	19.67010854	11.29968629	13.03161015	3.340718282	13.08942909	10.75656969	13.15977943	23.97299091	21.90482141
1089927_1090174_Os01g0119050	78.0801109	87.27278819	78.27851393	95.38770894	61.03402416	76.23924783	67.66232596	75.5332168	81.92272559	101.3569678	75.16616135	65.44714547	70.68602941	61.68646606	54.70759464	62.34449171
10932508_10932743_Os01g0298301	9.1858954	6.818186578	12.69381307	2.445838691	10.82861719	20.12716143	16.53967968	10.22845644	8.474764716	2.895913367	3.340718282	3.272357273	25.09866262	16.44972428	14.13791772	10.95241071
11063603_11063872_Os01g0300900	37.89181853	27.27274631	42.31271023	37.91049971	30.51701208	40.86423684	34.5829666	26.75134762	19.774451	11.58365347	10.02215485	16.36178637	13.31765771	24.67458643	13.52322564	16.84986263
11075240_11076663_Os01g0301300	45.929477	40.90911947	41.25489248	41.57925774	32.48585157	29.88578515	33.83116298	33.83258669	36.72398044	53.57439729	35.07754196	44.17682319	30.22083866	34.544421	31.96398788	26.11728707
11191969_11192417_Os01g0302800	219.3132527	177.272851	186.175925	218.9025628	139.7876037	145.1595279	139.8354737	126.675499	180.7949806	166.5150186	157.0137593	155.4369705	120.8833546	115.9705562	138.3057168	122.161504
11198624_11198950_Os01g0302900	3.444710775	6.818186578	0	0	4.922098722	6.099139827	3.759018109	10.22845644	4.237382358	4.343870051	5.011077423	3.272357273	8.19548167	8.224862142	6.146920746	14.32238323
11220261_11221413_Os01g0303200	152.715511	166.3637525	143.8632148	123.5148539	231.33864	252.5043888	232.3073191	222.6656287	131.3588531	149.1395384	120.2658582	109.6239687	218.7169171	238.5210021	228.6654518	230.0006248
11231974_11232180_Os01g0303600	45.929477	54.54549262	52.89088779	51.36261251	33.47027131	26.22630125	22.55410865	29.11176064	36.72398044	57.91826734	43.42933767	31.0873941	36.87966752	41.94679692	43.6431373	52.23457414
11277405_11277795_Os01g0304300	107.934271	143.1819181	117.4177709	111.2856604	237.2451584	280.560432	310.4948958	296.6252368	118.646706	149.1395384	123.6065764	94.89836092	283.7685528	308.4323303	281.5289702	306.6674998
11350565_11350772_Os01g0305900	89.56248015	98.18188672	101.5505046	103.9481444	61.03402416	66.48062411	57.88887888	71.59919509	48.02366673	78.18966091	76.83652049	89.98982501	38.92853793	50.99414528	38.7256007	58.97451919
11350830_11356038_Os01g0305900	211.2755942	215.4546959	206.2744624	218.9025628	93.51987573	97.58623723	96.98266721	79.46723851	137.0086962	121.6283614	115.2547807	207.7946869	54.29506607	58.39652121	55.93697879	41.28216343
11356008_11356303_Os01g0305900	217.0167788	203.18196	199.9275558	196.8900146	114.1926904	126.2521944	109.7633288	94.416521	132.7713139	120.1804047	105.2326259	197.977615	63.51498294	66.62138335	63.92797576	37.91219091
11356509_11356863_Os01g0305900	153.863748	130.9091823	126.9381307	140.6357247	99.42639419	101.8556351	92.47184548	88.90889061	90.39749031	76.74170423	53.45149252	89.98982501	44.56293158	62.50895228	51.63413427	51.39208101
11426446_11426948_Os01g0306900	176.8284865	169.0910271	168.1930232	157.7565956	209.6814056	211.640152	203.7387815	212.4371722	145.483461	143.3477117	141.980527	160.3455064	222.3024403	228.6511675	184.4076224	221.5756935
11544479_11544866_Os01g0308600	70.04245243	66.81822846	74.04724291	85.60435418	50.20540697	59.7715703	60.89609337	58.22352128	69.21057852	44.88665719	58.46256994	50.72153774	64.53941815	67.44386956	65.77205199	72.45440929
11585606_11585898_Os01g0309100	132.0472464	110.4546226	108.9552288	132.0752893	56.11192544	63.4310542	59.39248612	80.25404285	121.4716276	108.5967513	115.2547807	153.8007918	64.53941815	57.57403499	60.85451539	53.07706727
11621810_11622522_Os01g0309900	639.5679672	672.2731966	660.0782796	613.9055114	1055.297966	881.325705	812.6997152	1036.221318	642.6696577	687.7794247	663.132579	628.2925965	1068.99814	1013.303016	1006.250926	951.1747452
11665793_11666448_Os01g0310550	535.0784071	511.3639933	542.6605087	491.6135769	599.5116244	614.1833805	600.6910938	567.2859303	460.4622163	480.7216189	541.1963617	582.4795946	521.9497389	477.8644904	563.6726324	502.1259062
1169329_1169745_Os01g0120700	1105.752159	1037.727997	1008.100321	1046.81896	691.0626606	626.3816602	645.0475075	683.7329729	1252.852717	1178.63674	1798.976795	1650.904244	771.3997122	861.9655524	765.2916329	733.8115173
11801452_11801752_Os01g0314000	3.444710775	5.454549262	0	2.445838691	2.953259233	3.049569913	9.021643462	3.147217367	4.237382358	5.791826734	11.69251399	9.81707182	11.2687873	16.44972428	19.05545431	21.90482141
11806985_11807106_Os01g0314100	145.8260895	139.0910062	163.9617521	156.5336762	101.3952337	104.295291	96.98266721	110.1526078	240.1183336	207.0578057	240.5317163	245.4267955	145.9820173	171.0771325	139.5351009	165.9711469
11863980_11864412_Os01g0314800	221.6097265	203.18196	222.1417287	240.915111	143.7252827	134.7909902	132.3174374	125.1018903	1566.419012	1624.607399	1700.425606	2012.499723	937.8704336	997.6757778	1017.930076	926.7424444
1186815_1187173_Os01g0121200	67.74597858	46.36366873	66.64251861	51.36261251	57.09634518	60.38148428	63.90330785	42.48743445	74.86042166	56.47031066	50.11077423	55.63007365	68.12494138	45.23674178	55.93697879	74.98188868
11964349_11964676_Os01g0316600	18.3717908	8.181823893	20.09853736	8.560435418	29.53259233	39.64440887	32.32755574	29.89856498	50.8485883	21.71935025	26.72574626	50.72153774	107.5656969	76.49121792	91.58911912	93.51673757
11981273_11981782_Os01g0316900	606.2690964	565.9094859	540.5448732	527.0782379	563.0880938	609.9139827	549.5684475	561.7782999	522.6104908	527.0562328	506.1188198	528.4856996	511.1931692	522.278746	564.9020166	556.8879598
