	CK_m6A_1	CK_m6A_2	CK_m6A_3	CK_m6A_4	RSV_m6A_1	RSV_m6A_2	RSV_m6A_3	RSV_m6A_4
10048272_10048452_Os01g0281600	108.2861719	89.65735545	89.464631	75.5332168	60.44167732	51.81663149	62.08389954	58.97451919
10113787_10114175_Os01g0283000	28.54817259	26.83621524	28.56853763	29.89856498	18.43983376	26.31955885	31.34929581	23.58980768
10134388_10135180_Os01g0283300	6192.984613	5760.637566	5949.022059	6007.251148	7557.258535	7456.660018	7089.243697	7246.283422
10203055_10203323_Os01g0284900	23.62607387	12.80819364	11.27705433	16.52289117	41.48962596	60.86397985	38.7256007	35.38471151
10267628_10267953_Os01g0286000	108.2861719	89.65735545	91.72004186	117.2338469	109.1023497	101.9882906	108.8004972	107.8391208
10271156_10271456_Os01g0286100	135.8499247	122.5927105	147.3535099	130.6095207	168.0073742	149.692491	166.5815522	176.0810644
10314559_10314826_Os01g0286900	23.62607387	18.90733346	15.78787606	29.89856498	15.36652813	13.98226564	16.59668602	5.897451919
10478564_10478798_Os01g0289732	242.1672571	223.8384316	187.9509055	197.4878898	347.7957534	382.4560896	357.7507874	353.8471151
10478564_10478800_Os01g0289600	312.061059	284.8298299	255.6132314	259.6454327	443.0682278	481.1544353	457.9455956	455.788784
10500645_10500824_Os01g0290100	104.3484929	100.0258932	94.72725635	96.77693402	95.27247442	91.29596977	95.27727157	92.67424444
10651130_10651400_Os01g0292900	269.73101	297.6380235	295.4588234	291.1176064	351.3812766	353.6690721	371.8887052	320.989883
10675406_10675586_Os01g0293200	16.73513566	31.7155271	19.54689417	22.81732591	26.12309782	29.60950371	27.04645128	21.06232828
1072289_1072558_Os01g0118700	76.78474007	51.23277454	69.16593321	60.58393431	92.19916879	88.82851113	84.8275063	83.40681999
10805526_10805795_Os01g0295700	114.1926904	104.905205	109.0115252	116.4470426	179.7883791	169.4321601	156.746479	192.9309271
10819486_10819665_Os01g0296000	13.78187642	17.07759151	16.53967968	19.67010854	10.75656969	13.15977943	23.97299091	21.90482141
1089927_1090174_Os01g0119050	61.03402416	76.23924783	67.66232596	75.5332168	70.68602941	61.68646606	54.70759464	62.34449171
